subject_id,time,microbe,log_abundance,time_numeric,site,age_group,age_numeric
S1,T7,QML0000-240616-05B_bin.9.strict,-7.432004458762506,9,gut,old,1
S1,T7,QML0000-240616-06B_bin.2.strict,-14.928870931614503,9,gut,old,1
S1,T7,QML0000-240616-06B_bin.27.permissive,-9.3896158008907,9,gut,old,1
S1,T7,QML0000-240616-08B_bin.56.permissive,-8.336683797700072,9,gut,old,1
S1,T7,QML0000-240616-10B_bin.9.strict,-18.420680743952367,9,gut,old,1
S1,T7,QML2500-240411-09B_bin.11.permissive,-5.545022818795536,9,gut,old,1
S1,T7,QML2500-240411-09B_bin.27.strict,-6.327135885835095,9,gut,old,1
S1,T7,QML3650-240319-06B_bin.10.strict,-18.420680743952367,9,gut,old,1
S1,T7,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,9,gut,old,1
S1,T7,QML3650-240319-06B_bin.71.permissive,-7.584736843445408,9,gut,old,1
S1,T7,QML3650-240329-05B_bin.56.orig,-7.9420438121928925,9,gut,old,1
S1,T7,QML3800-240416-01B_bin.36.strict,-10.466643179279508,9,gut,old,1
S1,T7,QML3800-240416-05B_bin.21.strict,-7.476332498789269,9,gut,old,1
S1,T7,QML5200-240418-03B_bin.31.strict,-8.360602835255643,9,gut,old,1
S1,T7,QML5200-240418-05B_bin.46.strict,-8.844533871836308,9,gut,old,1
S1,T7,QML5200-240418-06B_bin.10.strict,-8.021344089768391,9,gut,old,1
S1,T7,QML5200-240504-01B_bin.74.permissive,-7.227486988413007,9,gut,old,1
S1,T7,QML5200-240504-05B_bin.24.orig,-8.425770195072424,9,gut,old,1
S1,T7,QML5200-240504-06B_bin.32.strict,-8.5805706181606,9,gut,old,1
S1,T7,QML5200-240511-01B_bin.13.orig,-3.3397229578175884,9,gut,old,1
S1,T7,QML5200-240511-01B_bin.57.strict,-6.49280039716354,9,gut,old,1
S1,T7,QML5200-240511-02B_bin.12.strict,-6.923722922725476,9,gut,old,1
S1,T7,QML5200-240522-05B_bin.2.orig,-12.229906995071008,9,gut,old,1
S1,T7,QML5200-240522-08B_bin.2.strict,-9.752058860198934,9,gut,old,1
S1,T7,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,9,gut,old,1
S1,T7,QML5800-240423-04B_bin.7.strict,-3.4063013774708537,9,gut,old,1
S1,T7,QML5800-240423-05B_bin.15.strict,-5.696956167924241,9,gut,old,1
S1,T7,QML5800-240423-05B_bin.41.permissive,-7.224570104183662,9,gut,old,1
S1,T7,QML5800-240423-05B_bin.45.orig,-9.124332159087448,9,gut,old,1
S1,T7,QML5800-240423-08B_bin.36.orig,-18.420680743952367,9,gut,old,1
S1,T7,QML5800-240423-08B_bin.9.permissive,-5.476804262066689,9,gut,old,1
S1,T7,QML5800-240423-11D_bin.9.strict,-18.420680743952367,9,gut,old,1
S1,T7,QML5800-240428-02B_bin.44.strict,-7.662812028919767,9,gut,old,1
S1,T7,QML5800-240428-05B_bin.15.orig,-18.420680743952367,9,gut,old,1
S1,T7,QML5800-240428-05B_bin.5.permissive,-6.7209282652668865,9,gut,old,1
S1,T7,QML5800-240428-06B_bin.67.orig,-7.638317174971397,9,gut,old,1
S1,T7,QML6500-240426-05B_bin.35.strict,-5.596919227502239,9,gut,old,1
S1,T7,QML6500-240426-07B_bin.16.orig,-9.080386003427783,9,gut,old,1
S1,T7,QML6500-240426-07B_bin.34.strict,-7.029908051505647,9,gut,old,1
S1,T8,QML0000-240606-02B_bin.20.orig,-9.688677669660017,10,gut,old,1
